GRB;designation;z;E_iso(1e52 erg);instrument;GCN;ra(deg);dec(deg);error radius(arcsec);trigger time(UT)
050315A;IBdHNe 050315A;1.95;8.32;Swift;3099;306.476;-42.6;1.4;2005-03-15 20:59:43.000
050318A;IBdHNe 050318A;1.44;3.7;Swift;3134;49.713;-46.396;1.4;2005-03-18 15:44:37.000
050319A;IBdHNe 050319A;3.24;20.2;Swift;3119;154.2;43.548;1.4;2005-03-19 09:31:18.000
050401A;IBdHNe 050401A;2.9;92.0;KW;3179;247.873;2.185;60.0;2005-04-01 14:20:15.000
050505A;IBdHNe 050505A;4.27;44.6;Swift;3364;141.764;30.273;1.4;2005-05-05 23:22:21.000
050525A;IBdHNe 050525A;0.606;2.31;KW;3474;278.136;26.339;1.5;2005-05-25 00:02:53.000
050730A;IBdHNe 050730A;3.97;42.8;Swift;3715;212.072;-3.772;1.4;2005-07-30 19:58:23.000
050802A;IBdHNe 050802A;1.71;7.46;Swift;3737;219.274;27.787;144.0;2005-08-02 10:08:02.000
050814A;IBdHNe 050814A;5.3;26.8;Swift;3803;264.189;46.339;1.4;2005-08-14 11:38:57.000
050820A;IBdHNe 050820A;2.61;39.0;KW;3852;337.409;19.56;1.4;2005-08-20 06:34:53.000
050922C;IBdHNe 050922C;2.2;19.8;KW;4030;317.388;-8.758;1.4;2005-09-22 19:55:50.000
050408A;IBdHNe 050408A;1.24;10.8;HETE;3188;202.873;42.098;1.4;2005-10-08 16:33:21.000
051109A;IBdHNe 051109A;2.35;18.3;KW;4238;330.314;40.823;144.0;2005-11-09 01:12:21.000
060108A;IBdHNe 060108A;2.03;1.5;Swift;4445;147.009;31.919;1.5;2006-01-08 14:39:12.000
060115A;IBdHNe 060115A;3.53;19.0;Swift;4518;54.035;17.345;1.4;2006-01-15 13:08:01.000
060124A;IBdHNe 060124A;2.296;26.0;KW;4599;77.108;69.741;1.4;2006-01-24 15:54:52.000
060202A;IBdHNe 060202A;0.783;1.9;Swift;4635;35.846;38.384;1.4;2006-02-02 08:40:55.000
060206A;IBdHNe 060206A;4.05;3.9;Swift;4697;202.931;35.051;1.5;2006-02-06 04:46:53.000
060210A;IBdHNe 060210A;3.91;120.0;Swift;4734;57.739;27.026;1.4;2006-02-10 04:58:50.000
060418A;IBdHNe 060418A;1.49;12.0;KW;4989;236.427;-3.639;144.0;2006-04-18 03:06:08.000
060502A;IBdHNe 060502A;1.51;11.0;Swift;5053;240.927;66.601;144.0;2006-05-02 03:03:32.000
060510B;IBdHNe 060510B;4.9;66.0;Swift;5107;239.122;78.57;1.5;2006-05-10 08:22:15.000
060512A;IBdHNe 060512A;2.1;2.38;Swift;5124;195.774;41.191;144.0;2006-05-12 23:13:21.000
060526A;IBdHNe 060526A;3.21;5.4;Swift;5174;232.826;0.285;144.0;2006-05-26 16:28:30.000
060605A;IBdHNe 060605A;3.8;10.1;Swift;5231;322.155;-6.059;144.0;2006-06-05 18:15:45.000
060607A;IBdHNe 060607A;3.082;34.0;Swift;5242;329.71;-22.496;144.0;2006-06-07 05:12:13.000
060707A;IBdHNe 060707A;3.43;5.3;Swift;5289;357.079;-17.905;1.7;2006-07-07 21:30:19.000
060708A;IBdHNe 060708A;1.92;2.2;Swift;5295;7.808;-33.759;144.0;2006-07-08 12:15:59.000
060714A;IBdHNe 060714A;2.71;19.0;Swift;5334;227.86;-6.566;144.0;2006-07-14 15:12:00.000
060729A;IBdHNe 060729A;0.54;1.6;Swift;5370;95.382;-62.37;1.4;2006-07-29 19:12:29.000
060814A;IBdHNe 060814A;1.92;6.3;KW;5460;221.339;20.586;1.4;2006-08-14 23:02:19.000
060906A;IBdHNe 060906A;3.685;25.9;Swift;5534;40.754;30.362;1.4;2006-09-06 08:32:47.000
061007A;IBdHNe 061007A;1.261;88.0;KW;5722;46.332;-50.501;1.4;2006-10-07 10:08:09.000
061121A;IBdHNe 061121A;1.314;27.0;KW;5837;147.227;-13.195;144.0;2006-11-21 15:22:29.000
061126A;IBdHNe 061126A;1.159;8.1;Swift;5860;86.602;64.211;144.0;2006-11-26 08:47:56.000
